at_Q80_time_2	at_Q80_time_6	at_Q80_time_10	at_Q92_time_2	at_Q92_time_6	at_Q92_time_10	at_Q111_time_2	at_Q111_time_6	at_Q111_time_10	at_Q140_time_2	at_Q140_time_6	at_Q140_time_10	at_Q175_time_2	at_Q175_time_6	at_Q175_time_10
Mir206	-0.0146855	0.230571235	0.01112206	0.0669849316	0.2217306	0.021000532	0.02170193	0.2664159944	0.05267254	0.03543751	0.25928593	0.02526603	0.001752518	0.7453559	0.0983184
Mir30a	-0.00233513	-0.6755625007	0.03158032	0.0783397986	-0.560031	0.0270556511	-0.01323753	-0.6532058175	0.008401441	0.02479084	-0.690169451	0.1128536	0.01732206	-0.700214	-0.0761584
Mir30c-2	-0.09335186	-0.010924071	0.007351722	0.1804192298	0.02676348	0.0420021695	-0.02153655	0.0033535475	0.01051626	0.0006029237	-0.02122577	0.06664379	0.0287885	-0.02155232	0.04171955
Mir1928	0.002377739	-1.6867134741	0.00813257	-0.0396605478	-1.338265	-0.0127171195	-0.06933117	-1.3227295145	0.2039486	-0.004661303	-2.054921294	-0.1265136	-0.02549461	-1.194318	-0.2188623
Mir26b	-0.04417384	-0.3247818493	-0.01476398	0.0258845521	-0.3219598	0.0446507924	-0.04839818	-0.2766136818	-0.0227307	0.009815674	-0.297296363	0.1157431	-0.004810675	-0.3023017	0.08980032
Gm25035	0.02940612	-1.4584324498	-0.01324713	-0.0658821541	-0.9054994	-0.0094453721	-0.01842237	-0.1872639626	-0.05275322	-0.07607786	-0.36364314	-0.05622778	-0.03537512	-0.4905688	-0.1340095
Mir375	-0.1424163	-0.3512649573	0.006592489	-0.3145017957	-0.3095728	-0.1575890879	-0.2245153	-0.1937298797	0.04286083	-0.1530302	-0.334435152	0.1815144	-0.1676834	-0.3604265	-0.3490963
Mir149	-0.04686351	0.2132943931	-0.03809994	0.0090119439	0.2314242	-0.0540660273	0.01518691	0.1664591268	0.05818927	-0.03457558	0.226303903	-0.1031319	-0.04694884	0.2617304	0.06425372
ENSMUST00000117011	0.0003737268	0.1998088437	0.00143421	0.1430002463	0.0280626	-0.000489683	0.01803921	0.0537785909	0.02110935	0.06656028	-0.004029783	0.0002995834	0.01049669	-0.02661725	0.002824647
Mir128-1	-0.0256848	-0.0317521704	-0.001216871	0.0021192627	-0.04139319	0.0699755284	-0.1666502	0.1075967453	-0.01793441	-0.06351344	-0.056296903	-0.09352586	-0.09089641	-0.1527468	-0.1623289
