at_Q80_time_2	at_Q80_time_6	at_Q80_time_10	at_Q92_time_2	at_Q92_time_6	at_Q92_time_10	at_Q111_time_2	at_Q111_time_6	at_Q111_time_10	at_Q140_time_2	at_Q140_time_6	at_Q140_time_10	at_Q175_time_2	at_Q175_time_6	at_Q175_time_10
0610007P14Rik	0.01808673	-0.03218508	-0.02590962	0.003656853	0.004845809	-0.05516663	-0.01969036	-0.05277363	-0.02226859	-0.0404927	-0.008638725	-0.07683173	-0.007316561	-0.1036634	-0.005367141
0610009L18Rik	-0.02627033	0.005955358	-0.02750971	0.01366701	0.03298773	0.01742253	0.01573265	0.04162979	0.01841283	-0.01332995	0.06178341	-0.03788766	0.03489371	0.1994055	0.06493826
0610010F05Rik	-0.04657323	-0.006007715	-0.01417936	0.04277841	0.06695687	-0.05108417	0.02018062	-0.05083875	-0.01825756	0.01367436	0.00879782	-0.04386013	-0.01156139	-0.06615395	0.03881831
0610010K14Rik	-0.01908069	-0.03455136	0.02717345	-0.02888366	-0.1135278	0.06262537	0.01488282	-0.04661127	0.09051582	0.00486203	-0.01253905	-0.006123472	-0.09385101	-0.02192467	-0.05458786
0610011F06Rik	0.04116853	0.005303815	0.03732611	0.02948727	-0.03998046	0.01513751	0.01399206	0.01949659	0.08213041	-0.02051743	0.01336202	0.07043102	-0.001095229	0.1722074	0.08344719
0610012G03Rik	0.01472712	-0.01028241	-0.00616351	-0.02641204	-0.107216	0.04290305	0.02268175	0.006468696	0.02187894	-0.01986239	-0.1157992	-0.007945519	-0.04729552	0.15485	-0.03803942
0610037L13Rik	0.03659273	0.006927433	0.03621159	0.06276339	-0.01162217	0.04331947	0.03928743	0.01338007	0.04983863	0.03211835	0.05651772	0.01938866	0.01789179	0.09662108	0.002756571
0610038B21Rik	0.005320812	0.02315099	0.02323106	-0.009907194	0.007641539	0.03715445	-0.005158509	-0.001867777	0.03187868	-0.01633299	-0.02485176	0.002622336	0.003695251	-0.04539078	-0.1372732
1110001J03Rik	0.01330724	0.00126154	-0.04627216	-0.006092806	-0.1117296	0.02607486	-0.001621458	0.003293737	-0.009033341	0.005314649	-0.05645157	-0.02785896	-0.03378918	0.1265473	-0.04531585
1110002E22Rik	-0.02018611	0.0358298	0.02553411	0.03745574	0.02940952	0.09533317	0.005466771	0.03472375	0.008420484	0.02360585	0.0736224	0.04365884	-0.004750525	0.07155341	0.0382823
1110002J07Rik	-0.003577734	-0.005472107	0.02231579	-0.04379355	0.02391662	0.03589026	-0.02468999	0.01095225	0.04178751	-0.02210806	0.04720795	0.03332869	-0.01942277	0.08051489	0.3070231
1110002L01Rik	0.04531837	-0.02055152	0.07891043	0.03236574	-0.03992554	0.02242232	0.04202616	-0.05979145	0.05282138	0.01942607	0.0005255709	0.09299796	0.02115203	-0.0158465	0.05253726
1110004E09Rik	0.008427604	-0.0246731	-0.004603988	0.06774901	-0.03972612	-0.01612156	0.02343628	-0.03317422	-0.01407452	0.02724751	-0.0869101	0.02119431	0.008023288	-0.01613854	-0.03905099
1110004F10Rik	-0.06349905	-0.02340535	0.03288054	0.01676313	-0.005050389	-0.02082228	-0.01008641	-0.06117365	0.04187105	-0.01252808	-0.03778443	0.007554191	0.0007104541	-0.07672805	0.05956392
1110007C09Rik	0.0402325	-0.05326404	-0.06402254	-0.01866165	-0.100283	0.01096944	0.0352372	-0.02255314	-0.01977782	-0.009559507	0.0005218272	-0.0110071	0.02563399	0.1013538	-0.02384299
1110008P14Rik	0.08668594	0.008379135	-0.0030768	0.03739957	-0.07007393	0.05914908	0.03046621	-0.003564962	-0.04044266	0.008527754	-0.1275727	-0.06870061	0.009856546	-0.1399511	-0.3112954
1110015O18Rik	-0.03245793	0.01517929	0.01073773	-0.03342432	0.02640097	0.005732257	-0.02199961	0.006428578	0.01006106	-0.03090021	0.03044528	-0.007558102	-0.03711406	0.1431786	0.02392329
1110017D15Rik	-0.01447663	-0.00830218	0.02706463	-0.0557969	-0.06814182	0.01970573	-0.01889389	-0.01646802	0.05082783	-0.008127506	-0.004995444	0.01737548	-0.03648497	0.06762593	0.001771544
1110032F04Rik	-0.005001118	0.01831932	0.01741404	0.01500147	0.05951322	-0.05825167	0.01354435	0.004635789	0.0418009	-0.0055992	0.05182307	0.00704332	0.01146181	-0.06569444	-0.252082
1110037F02Rik	0.009079042	0.002246877	-0.03470849	-0.003542708	0.02442728	-0.04547788	0.04386253	0.007577017	-0.08371964	-0.002228585	-0.0164246	-0.02087546	0.004357268	-0.02335136	-0.01628882
1110065P20Rik	0.02825965	-0.008525128	-0.01838066	-0.007042888	-0.05509025	0.02035642	-0.02176616	0.01372851	0.03310931	-0.04405954	-0.04659716	-0.003802097	0.02486344	0.1578614	0.08416929
1190002F15Rik	0.01990201	-0.004016177	0.004474272	0.02734151	-0.003074771	-0.002582547	0.009031175	-0.002778193	0.01015523	0.01434937	-0.006473246	-0.001196381	0.01422706	0.003187306	0.01535829
1190002N15Rik	-0.1235607	-0.01423504	0.0084673	-0.008364138	-0.00381701	-0.03747357	-0.04727602	-0.06437681	0.08586906	-0.02314961	0.02783481	0.002431935	-0.04454905	-0.05068502	-0.05794273
1190005I06Rik	0.02136333	0.02434497	-0.01336781	0.01030291	-0.0008320657	0.04654337	-0.0004549882	0.07645431	-0.009111009	-0.003783528	0.05208511	0.002435105	-0.008128521	0.2184528	-0.01443619
1200014J11Rik	-0.06158509	-0.04154002	-0.003658063	-0.01930618	-0.02625835	-0.03210457	-0.04080903	-0.02574219	-0.07486522	-0.02097711	-0.09007615	-0.02595393	-0.04037249	-0.07376279	0.04732234
1300017J02Rik	-0.007200613	-0.004164581	-0.002888229	0.001143369	0.06695516	-0.007409247	-0.000684116	0.008078712	0.01152987	0.009920647	0.1450454	-0.003297553	0.004865711	-0.01033152	0.00341134
1500002C15Rik	-0.01196181	0.0675013	0.03633357	-0.02670963	0.01088892	-0.002581667	-0.05487402	0.04308108	0.04356184	-0.03831299	0.1004764	0.007190841	-0.04202121	0.1133729	-0.05973301
1500002F19Rik	-0.0398815	0.004121079	0.02358887	-0.015946	-0.01058715	0.03055229	-0.01339875	-0.007990734	0.007877669	-0.02925695	0.002072146	0.01787803	-0.03423376	0.02173938	0.05094131
1500004A13Rik	-0.03674894	0.009062717	-0.01746953	-0.02292925	0.03065569	-0.003656042	-0.01931806	-0.02225124	-0.01155022	-0.006562129	0.008383227	-0.0003728983	0.00391654	-0.08905927	0.01452137
1500009C09Rik	0.04303258	-0.01412028	-0.05146917	-0.009159849	-0.01722769	-0.01918049	0.01227498	-0.05616447	0.005188564	-0.0155413	-0.03874812	-0.0256939	0.001592857	-0.05654346	-0.05547177
1500009L16Rik	-0.03873437	0.00968829	0.03335614	0.05626256	0.006416337	0.02390026	-0.007110974	-0.06300039	0.002670576	0.03395731	0.02714571	0.0127891	0.01593297	0.1540215	0.1232686
1500011K16Rik	0.0486425	-0.04535538	0.04782874	0.03870855	-0.08040216	0.07811151	0.01576374	0.004092928	0.04649568	0.03312911	-0.0761918	0.01946778	-0.04683787	0.1069751	0.05215621
1500012F01Rik	-0.008906076	-0.04205418	-0.02088218	0.01903024	-0.05687199	-0.02691857	-0.02464782	0.03154552	0.001012526	0.03053703	-0.005654316	-0.002572751	0.05153636	0.1540112	0.0867494
1500015L24Rik	0.007821088	0.01114169	0.003993691	-0.003036893	0.007549982	0.02414927	0.008967141	0.008628218	0.01844853	0.02022532	0.022896	0.02740799	0.01552474	0.09127773	0.1559878
1500015O10Rik	-0.07844778	-0.0006467558	-0.003517541	-0.04942892	-0.02746393	-0.02005213	-0.05190709	-0.01955762	0.007530182	0.004516789	-0.005385442	-3.53939e-05	0.01325642	-0.06361753	-0.1986906
1500017E21Rik	0.01924544	-0.05874222	0.04813145	0.01145711	-0.05180642	-0.01395169	0.02100524	-0.02728623	0.01651236	0.02801549	-0.01501363	0.00612759	0.008772287	-0.1045498	-0.006540459
1500035N22Rik	0.01434423	0.03436758	0.007339073	-0.006170981	0.03006685	-0.01535916	0.03497856	0.06036019	-0.007069694	0.01575354	0.1544564	-0.01761283	0.03961203	0.1992389	-0.08263292
1600002K03Rik	0.06082271	0.03186666	0.02400752	0.02523677	-0.01568474	0.02743593	0.01958969	0.007859507	0.03886472	0.03674591	-0.06929363	-0.01037562	-0.01729566	0.02558172	-0.1814724
1600014C10Rik	-0.03117642	0.00439003	0.03639309	-0.007141591	0.04511841	0.04565021	-0.008024544	0.01429221	0.05867333	-0.006626779	0.04503285	0.06396979	-0.01613709	0.03731082	0.1221049
1600020E01Rik	0.02690872	-0.009181197	0.0434929	0.003036449	-0.04194086	0.1027055	0.02800321	0.01715065	0.04139357	0.03221553	0.02413981	-0.01157924	0.02944673	0.05658805	0.04967297
1700001K19Rik	0.03185883	-0.005450322	0.01742356	0.0118054	-0.04525776	0.07514926	0.03848723	-0.004274297	0.01924822	0.01066505	-0.03280827	0.02751244	0.0249795	0.003272434	0.1242398
1700001O22Rik	0.01961763	-0.003207936	-0.04437627	-0.01631281	-0.04282752	0.006976768	-0.00490246	0.01767696	-0.0639123	0.005693383	-0.08215424	-0.04167678	0.007306678	-0.1176244	-0.2413748
1700003D09Rik	0.04665584	0.02610459	0.05160822	0.01095301	-0.03162178	0.05728715	0.04663271	-0.02045472	0.04493509	0.0245522	-0.1280528	0.02156791	-0.006622285	-0.2575936	-0.1090836
1700003E16Rik	0.07837807	0.02026178	-0.03278755	0.00478101	-0.0487612	0.04076705	0.03241709	0.06620667	0.01911192	-0.002617861	0.01357879	-0.007196091	0.03850267	0.1164459	-0.01343144
1700003F12Rik	0.002443372	-0.012203	-0.0002103611	-0.02666146	-0.0543467	0.01693631	0.008470489	0.01660389	0.00687376	-0.03548589	-0.062444	-0.001878433	-0.04179637	0.02223478	-0.02859095
1700003M02Rik	-0.01412828	-0.02749139	-0.03128991	-0.03622157	-0.03749268	-0.05691635	0.002394485	-0.0438204	0.00423002	0.012714	-0.0100725	-0.02081548	-0.003711695	-0.1654476	-0.3291316
1700007K13Rik	0.0131253	0.002582357	-0.003708557	0.01426911	-0.02861942	0.006598545	0.007772888	-0.04157088	0.01591544	0.01629642	-0.0274432	0.004072956	0.01495887	-0.08637552	-0.1595585
