at_Q80_time_2	at_Q80_time_6	at_Q80_time_10	at_Q92_time_2	at_Q92_time_6	at_Q92_time_10	at_Q111_time_2	at_Q111_time_6	at_Q111_time_10	at_Q140_time_2	at_Q140_time_6	at_Q140_time_10	at_Q175_time_2	at_Q175_time_6	at_Q175_time_10
Gm22463	0.00183226	0	-0.0021789163	0	0	-0.001364324	0.0008306207	0	0.0058234477	0.001039479	0	-0.00415863	0	0	-0.0065046644
Gm22132	0.007666516	0.0901102	-0.0232320115	0.008679208	0.01406878	-0.02665896	0.007489979	0.005232969	-0.0562082176	-0.006326295	0.0309618514	-0.01060336	0.0065334537	0.01181016	-0.0867825079
Gm23086	0.003885735	0.01156148	0.0330004861	0.002160909	-0.00208604	0.02643277	0.0008306207	-0.001605475	-0.008161791	0.006898662	-0.0003618279	-0.0124767	0.0029979106	-0.0003342979	-0.0218010705
Mir206	0.03773933	-0.1420699	-0.1097205702	0.08945705	-0.1118323	-0.177761	0.09455429	-0.1681325	-0.6517646548	0.01491356	-0.3336413033	-0.6603713	-0.0295538856	-0.3086325	-0.7130252775
Mir133b	0.01717691	0.1076082	-0.0399915012	-0.01291482	-0.00927407	-0.02467075	-0.00497309	0.001476087	-0.1556074682	-0.02220133	-0.2223571676	-0.2067082	-0.034607766	-0.0500941	-0.2906731243
Mir30a	0.003565578	-0.1529314	-0.0157370359	0.01185259	-0.04786961	0.06338631	-0.002973098	-0.06625367	-0.0510931589	-0.01125689	-0.2030150135	-0.1418401	-0.0977724248	0.0008532336	-0.1381519674
Mir30c_2	0.01993497	-0.1316781	0.1624337	0.00247007	-0.1610374	0.1771341	0.03149259	0.02444508	0.142781694	-0.03579088	-0.1684430396	0.04776944	-0.0217127279	0.1082256	0.1933205588
ENSMUST00000176833	-0.001540984	-0.05166142	-0.1455868423	0.003402352	0.01958249	-0.02601585	0.005134143	-0.001166092	-0.0529650984	0.01616857	-0.0392937105	-0.1513679	-0.0080081579	0.02702786	0.0637949509
Mir5103	-0.00405648	0.1544883	-0.1117293735	0.008244826	-0.001615733	-0.1739534	0.01064269	0.02479193	-0.1456901422	0.03357156	0.1791144191	-0.4292784	0.0074793796	0.1076865	-0.2831868387
Gm24133	-0.01820903	0.02277875	-0.0064533021	-0.009089165	-0.0003212387	-0.02501423	-0.01332199	-0.0004802437	-0.0717022532	-0.00769314	-0.0001706732	-0.06692719	-0.0108765206	0.001335111	-0.1046148381
ENSMUST00000104826	-0.008115764	-0.06921821	0.0086515189	0.01293439	0.002789201	-0.0104501	0.004499475	-0.01262261	0.0911359394	0.009979643	-0.0253238044	0.1382371	0.0195316623	0.02386497	0.1037164104
ENSMUST00000176323	0	-0.0006275647	-0.0256483245	0	-0.001008837	-0.02189333	0	-0.0004802437	-0.0431275909	0	0.0058258438	-0.07267465	0	-0.0001635352	-0.0934149497
Gm25736	0.00183226	-0.01902308	0	0.0007523169	-0.003832468	0	0.0008306207	-0.003974567	0.0413042385	0	-0.0173889711	0	0	-0.01515	0.0657277184
Gm25240	0.003886848	0.03253267	0	0	0.008723119	0.01330447	0.007037283	0.001072789	0.0400521335	0.01056665	0.0400065147	0.04248542	0.0067164394	0.002833758	0.0240429639
Gm23762	-0.01214158	0	0.0016985988	-0.00376248	0.005363567	0.0004676714	-0.006058311	0	0.0010498078	-0.008265621	0	0.0008782261	-0.0049178617	0.001335111	0.0163947609
ENSMUST00000175133	0.04194858	0.1403921	-0.2136394924	0.0216548	0.007114727	-0.1252536	-0.004658671	0.01774962	-0.2461794534	1.942397e-05	0.1548083718	-0.1803119	-0.0048282748	0.1313267	-0.3926568673
Gm24513	-0.006718521	0.09688424	-0.0558187029	-0.004707587	-0.008198912	-0.02736197	-0.009643904	-0.01152143	-0.221998289	-0.003021397	0.0636627679	-0.006354891	-0.0084236414	-0.03588098	0.152295006
Gm25472	-0.01065035	-0.0311798	-0.009945503	-0.00600616	0.01771183	0.004703549	-0.02036708	0.02254485	-0.0441007434	-0.03534928	0.0763505178	-0.004684539	-0.0236687619	-0.02777457	0.1184005752
ENSMUST00000175472	0.00183226	-0.0006280212	-0.0200821259	0.001456613	0.01351017	-0.009376396	0.0008306207	-9.198549e-05	-0.1092644572	0.003360781	0.0133527025	0.06373539	0.0021831476	-0.001662182	-0.1200032414
Mir1928	0.1282904	0.06950112	-0.2817758526	0.08457027	0.1958669	-0.1381992	0.146452	-0.06569953	-0.2684478696	0.1972445	0.1202296374	0.2406456	0.1179847895	0.01274521	-0.2052406932
Mir26b	0.04773323	-0.05460613	-0.1285044204	-0.0007879983	-0.1226704	0.02551967	0.07633311	0.01880362	0.0868218014	0.03108063	-0.0193133369	0.0634588	0.0277438266	0.01800135	0.1200182481
Gm25035	0.006257499	0.3020069	0.0079974087	0.03157768	0.04776814	0.07424513	0.02258465	0.03299527	0.1758549116	0.0620385	0.0958402127	0.1539382	0.0240129358	0.0344886	0.1309305007
Mir375	-0.2159353	0.2750702	-0.0997807928	-0.0888681	0.1928792	-0.1238509	-0.1154842	-0.001559412	0.0583210939	-0.1394522	0.2947027996	0.09858127	-0.1076099242	-0.1295805	0.0834251519
Gm22396	0.003886292	0.002137931	-0.0021789163	0.0007523169	0	-0.001364324	0	0.001072789	0.0105970875	0	0	0.01095194	0	0	-0.0065046644
Mir5126	0.1414567	0.6984208	-0.0301831821	0.04277357	0.1870551	0.05041787	0.01524685	0.04358572	-0.0201004055	0.07138463	0.4537865397	0.2276633	0.0542480272	-0.05907787	0.1726819125
Gm22548	-0.02389109	0.05392461	-0.0332457017	0.01885442	0.05239857	-0.0473725	0.007928973	0.003238657	-0.0503706337	0.03236034	-0.0328539708	0.05494159	0.0201372823	0.01234544	-0.0548139768
Mir149	0.1245707	-0.001562899	0.0054109031	-0.01429149	-0.06708782	-0.06139617	-0.05563517	-0.04945573	-0.1494836293	0.08241531	-0.0627777491	-0.07379839	0.0103034204	-0.166576	-0.0160227289
ENSMUST00000104668	0	0	0	0	0	0	0	0	0	0	0	0.01095815	0	0	0
ENSMUST00000117011	0.001832817	-0.003394429	-0.0094520942	0.0007523169	0.01998573	-0.006655449	0.0008306207	0.001433511	0.0038248535	0.004521433	0.0086679034	0.00364883	0.0013683846	0.002587422	-0.0209586187
Gm22426	0	0	-0.0020593774	0	0.0003663598	-0.003625308	0.0008306207	0.0006845309	-0.0258629615	0	0	-0.01295617	0	0	-0.0404922792
Gm23393	0.00183226	-0.0035784	-0.0020048665	0.0035695	0.0003663598	0.03886993	0	0.001403024	-0.0091987191	0.001039479	0.0035620617	0.1225762	0.0005536216	0.005472583	0.0442201928
Gm24586	0	0	-0.0021789163	0.0007523169	0	0.0004719843	0	0.0002962727	-0.0037127473	0.001039479	-0.0001706732	-0.00415863	0	0.001335111	0.0164360719
Mir128_1	0.00687349	-0.0574447	0.025571181	0.08180616	0.03938589	-0.02211128	2.823356e-05	-0.05933455	-0.0635623181	-0.0352567	-0.0107446543	-0.1999423	0.0768034269	-0.1902607	-0.1556005869
ENSMUST00000174959	-0.005611379	0.0684106	-0.0144335909	-0.002064867	-0.001434092	-0.0496803	-0.002478017	0.01135292	-0.1284054052	-0.002988331	0.0291137032	-0.0146613	-0.0016265341	-0.0009658613	-0.1378049017
Mir135b	0.06407507	-0.1487682	-0.1907043478	0.01470637	-0.1568282	-0.2195277	-0.02623627	0.05633521	-0.2824770755	0.08403487	-0.2075764792	-0.3107931	0.0505554778	0.03303454	-0.433155668
Gm22232	0.001832817	0.002321901	0.0014669541	0	-0.001008837	-0.004068366	0.0008306207	-0.0004802437	-0.0132558702	0.001039479	-0.0017450985	-0.0125905	0	-0.001662182	-0.0194005745
Mir1231	-0.03998196	0.08609978	0.0788744602	0.009709177	0.05021274	0.06688597	0.0005005473	0.05213216	0.2612521835	0.005565313	0.2593753767	0.2325623	0.0150366483	-0.1015833	-0.0359450071
ENSMUST00000175403	0.002314869	0.01554436	-0.0094513642	0.001762587	0.00499355	-0.005035592	-0.0005563864	0.005623495	-0.0180246604	-0.00576927	0.0127920204	0.02853299	-0.0013985749	-0.0001635352	-0.029428618
Mir181a_1	-0.06573177	0.3932821	-0.0839128987	0.0003141028	0.4519394	0.100286	0.01996096	0.09807492	0.1324989237	0.03524872	0.2515278937	0.07907916	-0.0648182369	0.5705959	0.1326245511
