at_Q80_time_2	at_Q80_time_6	at_Q80_time_10	at_Q92_time_2	at_Q92_time_6	at_Q92_time_10	at_Q111_time_2	at_Q111_time_6	at_Q111_time_10	at_Q140_time_2	at_Q140_time_6	at_Q140_time_10	at_Q175_time_2	at_Q175_time_6	at_Q175_time_10
0610009B22Rik	0.03879708	-0.01225301	0.005278294	0.01575493	0.06325359	0.09588697	0.02983467	0.02756753	0.02513591	0.05251757	-0.02190004	0.05215814	0.05888859	0.009027453	0.09237415
0610009E02Rik	-0.01518809	-0.02135343	0.0744007	-0.01577514	-0.001951643	0.1307438	-0.006707702	-0.006654067	0.1296673	0.01176208	0.01326896	0.1851145	0.06194914	0.0288214	0.1523271
0610009L18Rik	-0.04025932	0.003073415	-0.01262203	-0.04379237	0.02043255	0.1114372	-0.06177431	0.09187234	0.04632411	0.008430535	0.1267238	0.1283458	-0.01821336	0.1243647	0.1153121
0610010F05Rik	-0.0300717	0.02439431	-0.03908097	-0.04533732	-0.01387127	0.07134513	-0.06099404	0.02831592	0.1020625	-0.04348864	0.01763435	0.1312557	-0.003691348	0.05720948	0.1596463
0610010K14Rik	0.05464208	-0.005125958	0.0152254	0.0320606	0.008553625	0.01321067	0.05402436	-0.03802262	-0.04407682	0.0970184	-0.003999365	-0.02034781	0.1002584	-0.02487323	-0.04942169
0610011F06Rik	-0.05585173	0.01455445	0.05987044	0.005236431	0.04583764	0.04854967	0.05019648	0.04894971	0.1463929	0.02153598	0.0374509	0.2295439	0.01484326	0.07762905	0.2002285
0610030E20Rik	0.0004968813	-0.008099209	-0.02613593	0.006097703	0.01508862	-0.06088505	-0.01213299	0.001524129	-0.01235674	-0.02025795	0.02328196	-0.1216423	-0.01219924	-0.03862192	-0.1385429
0610037L13Rik	0.04915238	-0.008688872	0.04373696	0.03852113	0.04076701	0.1048401	0.003300221	0.08780422	0.2171254	0.01737855	0.1379974	0.1984653	0.05058523	0.1517525	0.2013662
0610040B10Rik	-0.09922512	-0.009764024	0.0002399725	-0.07020425	-0.06030728	0.04514247	-0.08864819	-0.02112113	-0.003637303	-0.04129647	-0.05112989	-0.1045644	-0.0787827	-0.1363938	0.01937499
0610040J01Rik	0.03638005	-0.03942966	0.0148457	-0.02044817	0.05004183	0.1004835	0.008951003	0.0562869	0.1312749	0.04037397	-0.01401701	0.08065339	0.02143482	0.04604353	0.2341935
1110001J03Rik	-0.003303865	0.004085536	0.2534911	0.04408668	0.07623208	0.1424126	0.08561034	0.05195407	0.1661536	0.006485782	-0.005063766	0.242357	-0.005687798	0.04944205	0.2064385
1110002J07Rik	0.0003067748	0.05450047	0.05005924	-0.02426158	-0.003256035	0.04871338	-0.01186093	0.1133731	0.2935956	-0.02656903	0.2574967	0.3345702	-0.001274795	0.1688562	0.2077251
1110002L01Rik	-0.01228675	-0.001628314	0.1098998	0.03794668	-0.06843419	0.1318601	0.01300405	0.004778997	0.1449909	0.05999788	0.08198056	0.1658063	0.08707835	0.06168868	0.09948203
1110004E09Rik	0.02210644	-0.01989896	0.02866503	0.04182365	0.07174115	0.06674148	0.05208274	0.01574061	0.08794544	0.02575202	0.02359353	0.2124937	0.07350299	0.06212147	0.1565704
1110007C09Rik	-0.09500121	0.03829338	0.08566769	-0.05215507	0.01357287	0.1242809	0.01546795	0.0966769	0.1124319	-0.07065453	0.04600697	0.387234	0.01433968	0.0889212	0.3825503
1110008P14Rik	-0.006377305	-0.01320925	0.1426217	0.1181762	0.0617971	0.0545179	0.06354801	0.007317759	0.03760137	0.01838231	-0.03029714	0.1631963	0.06080708	-0.01957759	0.08992966
1110012L19Rik	0.01521454	-0.007551809	0.04045889	0.02327516	-0.02621376	0.07314664	0.03337318	0.05117703	0.1675698	0.001444733	0.08672303	0.2090067	0.0950085	0.07200997	0.1953523
1110015O18Rik	0.03575474	0.05813915	-0.005081773	-0.01242949	-0.01040471	0.1891744	0.0009437249	0.2001708	0.3785801	0.07138817	0.287092	0.3982991	0.09193058	0.3290041	0.4858356
1110017D15Rik	-0.01154934	0.04507442	-0.003612844	-0.002580597	0.02670015	0.178161	0.01523057	0.1042432	0.2952766	0.01950545	0.199839	0.5102912	0.08275307	0.167869	0.4492815
1110018N20Rik	0.08306352	0.007782584	0.06361821	0.05264343	-0.04705799	0.07585036	-0.02244581	-0.001846202	0.2833579	0.01295638	0.03762761	0.2413247	-0.0002586179	-0.006602513	0.2062241
1110019D14Rik	0.006949502	0.01243935	0.1882761	0.02675668	-0.02675599	0.1527928	0.01911741	0.05001217	0.1572444	0.04457537	0.03214484	0.1102076	0.06858201	0.03917525	-0.01359269
1110032F04Rik	-0.0178427	0.04016377	-0.03031373	0.02167066	0.09853225	-0.1064812	-0.05223403	0.03811234	-0.1453015	0.01686254	0.04669532	-0.3478725	0.01525114	-0.09300122	-0.2153258
1110034G24Rik	-0.004471879	-0.008990049	0.1177395	0.02750856	0.04237383	0.0005050402	0.03497937	-0.005523274	-0.03745943	-0.03676052	-0.03127581	0.02413508	0.01809074	-0.06261702	-0.0243874
1110035H17Rik	-0.008100505	0.02290431	0.001004208	-0.008848443	-0.1221781	0.01319585	0.03547641	-0.07968735	-0.04208376	-0.002373612	0.02421467	-0.03700859	0.01292218	0.09889593	-0.1646464
1110038B12Rik	-0.09416208	-0.03671907	0.01396436	-0.08126224	-0.005453537	-0.004280688	-0.01814657	-0.03513469	-0.01655262	-0.02272798	-0.02712997	0.09279467	-0.01655724	-0.0003701293	0.1773969
1110051M20Rik	-0.001002263	-0.002795097	0.01884897	0.001848112	-0.01661459	-0.01447938	0.01170998	-0.01089068	0.05608588	-0.01032667	0.03027305	0.07735126	0.01516369	0.01950345	0.032386
1110059G10Rik	-0.02162137	-0.04631803	0.009972873	-0.01308721	0.01353998	0.03199587	-0.07652432	-0.09509338	-0.1059216	-0.05762923	-0.06803199	-0.07705025	-0.07207029	-0.05451685	-0.06871744
1190002N15Rik	-0.06808075	0.01585781	0.001692354	-0.04142381	0.07448595	0.02470887	-0.09627459	0.1063703	0.1970059	-0.02084676	0.1195544	0.1717441	0.0406037	0.1623645	0.215325
1190005I06Rik	-0.030105	-0.005364141	0.06045816	0.02569042	0.007887406	0.02339154	0.01499725	-0.06362026	-0.04561613	-0.02071103	-0.1058498	-0.1000762	-0.04077776	-0.1605225	-0.1031086
1200014J11Rik	0.02834982	-0.05136539	-0.03012187	-0.01412869	-0.02934876	0.05335506	-0.03133488	0.004813112	0.08303326	-0.0258923	-0.04447316	0.0888911	0.02884062	-1.246831e-05	0.1269687
1300002E11Rik	0.01775706	0.0238159	0.1186844	0.008700327	-0.006867486	0.1263524	-0.05011643	-0.008510107	0.1137271	0.006158972	0.07086216	-0.03927577	-0.008879356	0.008934937	-0.08859087
1500004A13Rik	0.01598364	-0.01225261	-0.05374751	-0.01615365	-0.05339778	0.01785962	-0.03099641	0.02084701	0.05070135	0.01209656	0.01493213	0.01736365	-0.03582888	0.01137057	-0.01432931
1500009C09Rik	0.03217056	-0.03670709	0.02207219	0.006287956	0.02106168	-0.0427898	0.0486223	-0.01190496	-0.08723078	0.009840539	-0.08018108	-0.03128756	-0.02549259	-0.08700425	-0.1437173
1500009L16Rik	-0.05127868	-0.02651877	-0.03277822	-0.03695251	0.05276272	0.1290949	0.00693506	0.1336358	0.1315268	0.03863304	0.07819964	0.2047279	0.05152216	0.107946	0.1232826
1500011K16Rik	-0.01748233	-0.0003251896	0.2293179	0.02760422	0.04627398	0.09835758	0.01255927	0.01837758	0.1290473	-0.008024965	0.01392657	0.2464551	0.01323522	0.02830102	0.1870605
1500012F01Rik	-0.01175651	-0.01143335	0.002262879	0.01879857	0.07977342	0.08228508	0.02528709	0.04767436	0.1227309	0.001594175	0.03226746	0.1358115	0.08687391	0.07162619	0.2564359
1500015L24Rik	-0.00362112	0.01926169	-0.0366567	-0.02176917	0.01221942	0.08169512	-0.03148979	-0.0002495039	0.1227877	-0.02183535	0.05701633	0.1588173	0.003295053	0.007688437	0.2926906
1500015O10Rik	-0.04858781	0.03550604	0.03147918	-0.01547149	0.09348609	-0.04526694	-0.006076965	0.09439012	-0.1223167	0.04220663	0.1192101	0.2307671	0.1093096	-0.03800545	0.02549557
1500017E21Rik	-0.01000077	0.02742757	0.1060013	0.01454049	0.05317888	0.06013938	0.03682365	-0.05096736	0.07217235	0.01056914	0.009108132	-0.01056566	0.03270274	-0.1211327	-0.05634814
1500035N22Rik	0.1825706	0.04187354	0.0695209	0.01681705	0.07133744	0.1330058	0.0466726	0.09826076	0.2848309	0.04960617	0.174689	0.305015	0.1433655	0.06905929	0.291696
1600002K03Rik	0.09982223	-0.005557669	0.2106054	0.02906563	0.0171316	0.09486575	0.05548021	-0.001269262	0.06762568	0.05967118	-0.006693337	0.1481158	0.08629393	-0.06144343	0.009320884
1600014C10Rik	-0.03175084	-0.01812917	0.008133715	-0.0102804	-0.04110711	0.04994478	0.01556558	0.01594959	0.05794982	-0.02042828	0.0001574759	0.0861521	-0.01358064	0.00363948	0.06064282
1600029O15Rik	0.001526972	0.02217405	-0.02074332	0.02834712	0.04642652	-0.04273076	-0.006989424	0.03117155	0.05415527	0.06651138	0.07557636	-0.100732	0.04283426	0.0810754	0.026952
1700001C02Rik	-0.01542113	0.04240268	-0.06086422	-0.009135293	0.00644815	-0.06931327	0.02815158	0.01978365	-0.01515861	0.02428263	0.08178486	-0.1371702	0.01539001	0.009489945	-0.1035367
1700001G11Rik	0.009171892	0.01830197	0.003533404	0.01048528	0.05241722	0.07862834	0.01244994	0.07982324	0.1048827	-0.004351877	0.1321018	0.01384674	0.02459353	0.09580758	0.07317591
1700001O22Rik	-0.05567331	-0.01354001	-0.02890216	-0.06077329	-0.0701138	-0.148216	-0.02809588	-0.1823018	-0.6301624	-0.124014	-0.2092099	-0.7389212	-0.2575457	-0.3272966	-0.621493
1700001P01Rik	-2.988652e-05	-0.001107283	0.06146093	-0.01202274	0.005681623	0.02691039	-0.0020009	0.001337713	0.08630869	0.005603863	0.00431021	0.1075039	0.003159088	0.02528196	0.1067863
